t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
0.0,startup,java,237187,10776,8831,10776,196472,2,0,2409564
1.0,startup,java,237187,150728,147545,150728,4578228,24,228,2292244
2.0,startup,java,237187,258236,254778,258236,4646392,26,445,2186304
3.0,startup,java,237187,501572,498146,501572,4646392,26,732,1943436
4.0,startup,java,237187,571516,568054,571516,4646392,26,946,1858904
5.0,startup,java,237187,622864,619410,622864,4912652,30,1256,1823476
6.1,startup,java,237187,643368,639914,643368,5046796,33,1574,1807588
7.1,startup,java,237187,658628,655154,658628,5118588,39,1889,1792532
7.1,settle,java,237187,658628,655154,658628,5118588,39,1891,1792532
8.1,settle,java,237187,673512,670038,673512,5118588,38,2155,1771900
9.1,settle,java,237187,673620,670146,673620,5118588,38,2157,1774660
10.1,settle,java,237187,673848,670374,673848,5118588,38,2159,1774436
11.1,settle,java,237187,674152,670678,674152,5118588,38,2161,1774436
12.1,settle,java,237187,674344,670878,674344,5118588,38,2163,1768412
13.1,settle,java,237187,674640,671166,674640,5118588,38,2165,1768424
14.2,settle,java,237187,674804,671330,674804,5118588,38,2166,1768424
15.2,settle,java,237187,675032,671558,675032,5118588,38,2167,1772104
16.2,settle,java,237187,675312,671838,675312,5118588,38,2169,1772104
17.2,settle,java,237187,675480,672014,675480,5118588,38,2170,1771852
18.2,settle,java,237187,675680,672206,675680,5118588,38,2171,1771608
19.2,settle,java,237187,675848,672374,675848,5118588,38,2172,1771356
20.2,settle,java,237187,675996,672522,675996,5118588,37,2173,1769596
21.2,settle,java,237187,676152,672678,676152,5118588,37,2174,1769600
22.2,settle,java,237187,676328,672862,676328,5118588,37,2175,1769596
23.2,settle,java,237187,676484,673007,676484,5118588,37,2176,1768856
24.3,settle,java,237187,676668,673190,676668,5118588,37,2177,1768596
25.3,settle,java,237187,676816,673338,676816,5118588,37,2178,1768596
26.3,settle,java,237187,677004,673526,677004,5118588,37,2179,1768388
27.3,settle,java,237187,677152,673678,677152,5118588,37,2179,1768460
28.3,settle,java,237187,677304,673826,677304,5118588,37,2180,1768456
29.3,settle,java,237187,677452,673974,677452,5118588,37,2180,1768456
30.3,settle,java,237187,677640,674162,677640,5118588,37,2182,1768464
31.3,settle,java,237187,677792,674314,677792,5118588,37,2182,1767988
32.3,settle,java,237187,678016,674546,678016,5118588,37,2183,1767840
33.3,settle,java,237187,678176,674699,678176,5118588,37,2184,1767740
34.4,settle,java,237187,678328,674851,678328,5118588,37,2185,1767740
35.4,settle,java,237187,678472,674995,678472,5118588,37,2185,1766980
36.4,settle,java,237187,678620,675143,678620,5118588,37,2185,1766532
37.4,measure,java,237187,679476,676007,679476,5118588,37,2188,1764748
38.4,measure,java,237187,679632,676155,679632,5118588,37,2188,1764748
39.4,measure,java,237187,679908,676431,679908,5118588,37,2190,1762228
40.4,measure,java,237187,680056,676579,680056,5118588,37,2190,1759968
41.4,measure,java,237187,680204,676727,680204,5118588,37,2191,1759968
42.4,measure,java,237187,680360,676883,680360,5118588,37,2191,1759968
43.4,measure,java,237187,680508,677031,680508,5118588,37,2191,1759972
