t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
0.0,startup,hso-ui,236372,7132,6470,7132,1233540,5,0,2439676
1.0,startup,hso-ui,236372,15412,12468,15412,1235720,12,3,2314600
1.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,0,2314600
1.0,startup,java,236386,150444,147337,150444,4578228,24,222,2314600
2.0,startup,hso-ui,236372,15924,12964,15924,1235752,12,6,2206400
2.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,0,2206400
2.0,startup,java,236386,248588,245102,248588,4646392,26,432,2206400
3.0,startup,hso-ui,236372,15620,12660,15640,1235752,12,7,1952588
3.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,0,1952588
3.0,startup,java,236386,497308,493810,497308,4646392,26,734,1952588
4.0,startup,hso-ui,236372,15500,12540,15640,1235752,12,9,1891532
4.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,0,1891532
4.0,startup,java,236386,562888,559386,562888,4646392,26,957,1891532
5.0,startup,hso-ui,236372,15672,12712,15672,1235752,12,10,1820904
5.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,0,1820904
5.0,startup,java,236386,634420,630986,634420,4912652,30,1270,1820904
6.0,startup,hso-ui,236372,15748,12788,15748,1235752,12,11,1809160
6.0,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,1,1809160
6.0,startup,java,236386,651644,648170,651644,5046928,33,1609,1809160
7.1,startup,hso-ui,236372,16032,13072,16032,1235752,12,14,1790492
7.1,startup,hso-supervisor,236378,7116,4172,7116,1233540,7,1,1790492
7.1,startup,java,236386,668804,665302,668804,5117696,38,1938,1790492
7.1,settle,hso-ui,236372,16032,13072,16032,1235752,12,14,1790492
7.1,settle,hso-supervisor,236378,7116,4172,7116,1233540,7,1,1790492
7.1,settle,java,236386,668804,665338,668804,5117696,38,1945,1790492
8.1,settle,hso-ui,236372,16044,13084,16044,1235752,12,15,1790380
8.1,settle,hso-supervisor,236378,7116,4172,7116,1233540,7,1,1790380
8.1,settle,java,236386,668976,665478,668976,5117696,37,2256,1790380
9.1,settle,hso-ui,236372,15924,12964,15924,1235752,12,16,1779044
9.1,settle,hso-supervisor,236378,7116,4172,7116,1233540,7,2,1779044
9.1,settle,java,236386,678076,674574,678076,5117696,37,2471,1779044
10.1,settle,hso-ui,236372,15924,12964,15924,1235752,12,17,1778792
10.1,settle,hso-supervisor,236378,7116,4172,7116,1233540,7,2,1778792
10.1,settle,java,236386,678160,674658,678160,5117696,37,2473,1778792
11.1,settle,hso-ui,236372,15924,12964,15924,1235752,12,17,1778032
11.1,settle,hso-supervisor,236378,7120,4176,7120,1233540,7,2,1778032
