t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
73.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413000
74.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413000
75.8,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413008
76.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413008
77.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413016
78.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2313,1413016
79.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2314,1413024
80.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2314,1413024
81.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2314,1413024
82.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2314,1413024
83.9,measure,java,235948,1054648,1051195,1054648,5119612,36,2314,1413024
85.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1412668
86.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1414416
87.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1414416
88.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1414416
89.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1414416
90.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2315,1414416
91.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2316,1414416
92.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2316,1414424
93.0,measure,java,235948,1054648,1051195,1054648,5119612,36,2316,1414424
94.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2316,1415476
95.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2316,1415476
96.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2316,1415476
97.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2317,1415484
98.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2317,1415488
99.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2317,1415488
100.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2317,1415484
101.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2318,1415484
102.1,measure,java,235948,1054648,1051194,1054648,5119612,36,2318,1415484
103.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2318,1415484
104.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1415492
105.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1415492
106.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1415492
107.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1415492
108.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1415500
109.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2319,1419136
110.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1419256
111.2,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1419004
112.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1419004
113.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1419008
114.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1417884
115.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2320,1417884
116.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2321,1417884
117.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2321,1418984
118.3,measure,java,235948,1054648,1051194,1054648,5119612,36,2321,1418984
119.3,measure,java,235948,1054660,1051206,1054660,5119612,36,2323,1418984
120.3,measure,java,235948,1054660,1051206,1054660,5119612,36,2323,1418984
121.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2323,1418844
122.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2323,1418740
123.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2324,1418740
124.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2324,1417852
125.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2324,1417740
126.4,measure,java,235948,1054660,1051206,1054660,5119612,36,2324,1417740
127.4,measure,java,235948,1054260,1050806,1054488,5119612,30,2324,1417740
128.4,measure,java,235948,1054260,1050806,1054488,5119612,30,2324,1417740
129.4,measure,java,235948,1054260,1050806,1054488,5119612,30,2324,1417740
130.5,measure,java,235948,1054260,1050806,1054488,5119612,30,2325,1417740
131.5,measure,java,235948,1054260,1050806,1054488,5119612,30,2325,1417748
132.5,measure,java,235948,1054264,1050810,1054488,5119612,30,2325,1417600
133.5,measure,java,235948,1054264,1050810,1054488,5119612,30,2325,1417496
